check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-18T06:48:24.286743+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-18T06:48:24.286760+05:30
tls,pass,TLS certificate valid,,2026-09-18T06:48:24.955525+05:30
http,pass,Probe 1: HTTP 200 at https://nspd.gov.lk/,https://nspd.gov.lk/,2026-09-18T06:48:42.716462+05:30
http,pass,Probe 2: HTTP 200 at http://nspd.gov.lk/,http://nspd.gov.lk/,2026-09-18T06:48:42.716479+05:30
http,pass,Probe 3: HTTP 200 at https://nspd.gov.lk/,https://nspd.gov.lk/,2026-09-18T06:48:42.716484+05:30
http,pass,Probe 4: HTTP 200 at http://nspd.gov.lk/,http://nspd.gov.lk/,2026-09-18T06:48:42.716487+05:30
http,pass,Probe 5: HTTP 200 at https://nspd.gov.lk/index.php/services,https://nspd.gov.lk/index.php/services,2026-09-18T06:48:42.716489+05:30
http,pass,Probe 6: HTTP 200 at https://nspd.gov.lk/index.php/contact-us,https://nspd.gov.lk/index.php/contact-us,2026-09-18T06:48:42.716492+05:30
http,pass,Probe 7: HTTP 200 at https://nspd.gov.lk/index.php/news/events/208-free-eyeglasses-mobile-service-program-2026,https://nspd.gov.lk/index.php/news/events/208-free-eyeglasses-mobile-service-program-2026,2026-09-18T06:48:42.716495+05:30
http,pass,Probe 8: HTTP 200 at https://nspd.gov.lk/index.php/si,https://nspd.gov.lk/index.php/si,2026-09-18T06:48:42.716498+05:30
http,pass,Probe 9: HTTP 200 at https://nspd.gov.lk/index.php/ta,https://nspd.gov.lk/index.php/ta,2026-09-18T06:48:42.716501+05:30
http,pass,Probe 10: HTTP 200 at https://nspd.gov.lk/index.php/,https://nspd.gov.lk/index.php/en,2026-09-18T06:48:42.716503+05:30
http,pass,Probe 11: HTTP 200 at https://nspd.gov.lk/index.php,https://nspd.gov.lk/index.php,2026-09-18T06:48:42.716506+05:30
http,pass,Probe 12: HTTP 200 at https://nspd.gov.lk/index.php/about-us,https://nspd.gov.lk/index.php/about-us,2026-09-18T06:48:42.716508+05:30
http,pass,Probe 13: HTTP 200 at https://nspd.gov.lk/index.php/news/news-nspd,https://nspd.gov.lk/index.php/news/news-nspd,2026-09-18T06:48:42.716511+05:30
http,pass,Probe 14: HTTP 200 at https://nspd.gov.lk/index.php/news/events,https://nspd.gov.lk/index.php/news/events,2026-09-18T06:48:42.716532+05:30
phone,pass,Published phone: +94112877374,https://nspd.gov.lk/,
phone,pass,Published phone: +94 11-28 77 353 ,https://nspd.gov.lk/,
phone,pass,Published phone: +94 112 806 706 ,https://nspd.gov.lk/,
email,pass,Published email: mssnspd@gmail.com,https://nspd.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://nspd.gov.lk/,
phone,pass,Published phone: +94112877374,http://nspd.gov.lk/,
phone,pass,Published phone: +94 11-28 77 353 ,http://nspd.gov.lk/,
phone,pass,Published phone: +94 112 806 706 ,http://nspd.gov.lk/,
email,pass,Published email: mssnspd@gmail.com,http://nspd.gov.lk/,
named_responsibility,pass,Published named responsibility: director,http://nspd.gov.lk/,
phone,pass,Published phone: +94112877374,https://nspd.gov.lk/,
phone,pass,Published phone: +94 11-28 77 353 ,https://nspd.gov.lk/,
phone,pass,Published phone: +94 112 806 706 ,https://nspd.gov.lk/,
email,pass,Published email: mssnspd@gmail.com,https://nspd.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://nspd.gov.lk/,
phone,pass,Published phone: +94112877374,http://nspd.gov.lk/,
phone,pass,Published phone: +94 11-28 77 353 ,http://nspd.gov.lk/,
phone,pass,Published phone: +94 112 806 706 ,http://nspd.gov.lk/,
email,pass,Published email: mssnspd@gmail.com,http://nspd.gov.lk/,
named_responsibility,pass,Published named responsibility: director,http://nspd.gov.lk/,
phone,pass,Published phone: +94112877374,https://nspd.gov.lk/index.php/services,
phone,pass,Published phone: +94 11-28 77 353 ,https://nspd.gov.lk/index.php/services,
phone,pass,Published phone: +94 112 806 706 ,https://nspd.gov.lk/index.php/services,
email,pass,Published email: mssnspd@gmail.com,https://nspd.gov.lk/index.php/services,
named_responsibility,pass,Published named responsibility: department,https://nspd.gov.lk/index.php/services,
eligibility_criteria,pass,Published eligibility criteria: eligibility,https://nspd.gov.lk/index.php/services,
phone,pass,Published phone: +94112877374,https://nspd.gov.lk/index.php/contact-us,
phone,pass,Published phone: +94)112877374 ,https://nspd.gov.lk/index.php/contact-us,
phone,pass,Published phone: +94 11-28 77 353 ,https://nspd.gov.lk/index.php/contact-us,
phone,pass,Published phone: +94 112 806 706 ,https://nspd.gov.lk/index.php/contact-us,
email,pass,Published email: mssnspd@gmail.com,https://nspd.gov.lk/index.php/contact-us,
postal_address,pass,Published postal address: li:first-child { color: var(--template-color-primary); }.container-address li:last-child { font-size: 19px; width: 280px,https://nspd.gov.lk/index.php/contact-us,
named_responsibility,pass,Published named responsibility: department,https://nspd.gov.lk/index.php/contact-us,
phone,pass,Published phone: +94112877374,https://nspd.gov.lk/index.php/news/events/208-free-eyeglasses-mobile-service-program-2026,
phone,pass,Published phone: +94 11-28 77 353 ,https://nspd.gov.lk/index.php/news/events/208-free-eyeglasses-mobile-service-program-2026,
phone,pass,Published phone: +94 112 806 706 ,https://nspd.gov.lk/index.php/news/events/208-free-eyeglasses-mobile-service-program-2026,
email,pass,Published email: mssnspd@gmail.com,https://nspd.gov.lk/index.php/news/events/208-free-eyeglasses-mobile-service-program-2026,
named_responsibility,pass,Published named responsibility: division,https://nspd.gov.lk/index.php/news/events/208-free-eyeglasses-mobile-service-program-2026,
phone,pass,Published phone: +94 112 877 374 ,https://nspd.gov.lk/index.php/si,
phone,pass,Published phone: +94112877374,https://nspd.gov.lk/index.php/si,
phone,pass,Published phone: +94 112 806 706 ,https://nspd.gov.lk/index.php/si,
email,pass,Published email: mssnspd@gmail.com,https://nspd.gov.lk/index.php/si,
phone,pass,Published phone: +94 11-28 77 374 ,https://nspd.gov.lk/index.php/ta,
phone,pass,Published phone: +94112877374,https://nspd.gov.lk/index.php/ta,
phone,pass,Published phone: +94 11-28 77 353 ,https://nspd.gov.lk/index.php/ta,
email,pass,Published email: mssnspd@gmail.com,https://nspd.gov.lk/index.php/ta,
phone,pass,Published phone: +94112877374,https://nspd.gov.lk/index.php/,
phone,pass,Published phone: +94 11-28 77 353 ,https://nspd.gov.lk/index.php/,
phone,pass,Published phone: +94 112 806 706 ,https://nspd.gov.lk/index.php/,
email,pass,Published email: mssnspd@gmail.com,https://nspd.gov.lk/index.php/,
named_responsibility,pass,Published named responsibility: director,https://nspd.gov.lk/index.php/,
phone,pass,Published phone: +94112877374,https://nspd.gov.lk/index.php,
phone,pass,Published phone: +94 11-28 77 353 ,https://nspd.gov.lk/index.php,
phone,pass,Published phone: +94 112 806 706 ,https://nspd.gov.lk/index.php,
email,pass,Published email: mssnspd@gmail.com,https://nspd.gov.lk/index.php,
named_responsibility,pass,Published named responsibility: director,https://nspd.gov.lk/index.php,
phone,pass,Published phone: +94 112 877 374 ,https://nspd.gov.lk/index.php/about-us,
phone,pass,Published phone: +94112877374,https://nspd.gov.lk/index.php/about-us,
phone,pass,Published phone: +94 11-28 77 353 ,https://nspd.gov.lk/index.php/about-us,
phone,pass,Published phone: +94 112 806 706 ,https://nspd.gov.lk/index.php/about-us,
email,pass,Published email: mssnspd@gmail.com,https://nspd.gov.lk/index.php/about-us,
postal_address,pass,Published postal address: is being protected from spambots. You need JavaScript enabled to view it. document.getElementById('cloake4b47a592d974d2d,https://nspd.gov.lk/index.php/about-us,
named_responsibility,pass,Published named responsibility: director,https://nspd.gov.lk/index.php/about-us,
legal_basis,pass,Published legal basis: gazette,https://nspd.gov.lk/index.php/about-us,
phone,pass,Published phone: +94112877374,https://nspd.gov.lk/index.php/news/news-nspd,
phone,pass,Published phone: +94 11-28 77 353 ,https://nspd.gov.lk/index.php/news/news-nspd,
phone,pass,Published phone: +94 112 806 706 ,https://nspd.gov.lk/index.php/news/news-nspd,
email,pass,Published email: mssnspd@gmail.com,https://nspd.gov.lk/index.php/news/news-nspd,
named_responsibility,pass,Published named responsibility: division,https://nspd.gov.lk/index.php/news/news-nspd,
phone,pass,Published phone: +94112877374,https://nspd.gov.lk/index.php/news/events,
phone,pass,Published phone: +94 11-28 77 353 ,https://nspd.gov.lk/index.php/news/events,
phone,pass,Published phone: +94 112 806 706 ,https://nspd.gov.lk/index.php/news/events,
email,pass,Published email: mssnspd@gmail.com,https://nspd.gov.lk/index.php/news/events,
named_responsibility,pass,Published named responsibility: director,https://nspd.gov.lk/index.php/news/events,
page_text,pass,Substantive page content: 8485 visible characters across 14 pages,https://nspd.gov.lk/,
